Ville_Departement
41 SELLES SUR CHER
28 BROU
85 CHÂTEAU D'OLONNE
86 CIVRAY
68 BRUNSTATT DIDENHEIM
79 MAULEON
87 POUZAUGES
64 IDRON
47 MARMANDES
45 OLIVET
24 SAINT MARTIAL D'ALBAREDE
80 FLEXECOURT
85 LA MOTHE ACHARD
20 PORTICCIO
33 SAUVETERRE DE GUYENNE
85 CHATAIGNERAIE
57 ROTH HAMBACH
37 CHANCEAUX SUR CHOISILLE
47 LARVADAC
49 GREZ NEUVILLE
69 DOMMARTIN
26 DOUBS
39 ORGELET
85 NOTRE DAME DE MONTS
49 BACON LES GRANITS
49 CHALONNE SUR LOIRE
45 LA CHAPELLE SUR ERDRE
86 BUXEROLLES
79 MONCOUTANT
71 GERGY
73 RAVOIRE
47 MARMANDE
49 LA POMMERAYE
49 LONGUE-JUMELLES
57 CLOUANGE
64 BENEJACQ
57 BOULAY SUR MOSELLE
01 LAIZ
80 HAM
57 FAREBERSVILLERS
33 SAINT SERIN SUR L'ISLE
53 JOINVILLE
45 LA FERTE SAINT AUBIN
19 MALMORT
17 MARANS
13 CHATEAURENARD
33 CAVIGNAC
32 L'ISLE JOURDAIN
56 PONTIVY
44 GUEMENE PENFAO
84 PUYVERT
85 LE CHÂTEAU D'OLONNE
56 PLOUHARNEL
49 LYS HAUT LAYON
35 SAINT JACQUES DE LA LANDE
44 TREILLIERES
17 SAINT SAVINIEN SUR CHARENTE
28 AUNEAU
17 TONNAY SUR CHARENTE
53 VILLAINES LE JUHEL
89 SAINT FLORENTIN
57 OETING
88 ANOULD
68 BRUNSTATT
57 FAREBERSVILLER
29 BREST KEREDERN
62 BIACHE ST VAAST
85 SAINT HILIAIRE DE RIEZ
49 LONGUE JUMELLES
73 LE PONT DE BEAUVOISIN
34 PEZENAS
71 PRISE
28 AUNEAU-BLEURY-ST-SYMPHORIEN
26 BEAUMONT LES VALENCE
49 TRELAZE LA QUANTINIERE
53 PRE EN PAIL ST SAMSON
49 CHALONNES/LOIRE
01 THOIRY
65 MAUBOURGET
18 LA GUERCHE AUBOIS
76 BLANGY SUR BRESLE
76 FERRIERE EN BRAY
79 MONCOUTANT SUR SEVRE
72 RUAUDIN
86 MONTMORILLON
35 TINTENAC
86 JAUNAY-MARIGNY
85 LA MOTHE-ACHARD
85 ESSARTS EN BOCAGE
74 PUBLIER
